Arquivo, tamanho, tempo
File1.in, 1, 0.000003
File1.in, 1, 0.000003
File1.in, 1, 0.000002
File1.in, 1, 0.000004
File1.in, 1, 0.000002
File2.in, 1024, 0.001248
File2.in, 1024, 0.001257
File2.in, 1024, 0.001289
File2.in, 1024, 0.001245
File2.in, 1024, 0.001254
File3.in, 1048576, 0.493999
File3.in, 1048576, 0.450047
File3.in, 1048576, 0.451911
File3.in, 1048576, 0.455070
File3.in, 1048576, 0.455822
File4.in, 1073741824, 470.863098
File4.in, 1073741824, 471.077576
File4.in, 1073741824, 470.007599
File4.in, 1073741824, 469.308899
File4.in, 1073741824, 471.592621
